node_id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
1178,2664,Maquehue,Temuco,Chile,ZCO,SCTC,-38.766819,-72.637097,304,-4.0,S,CL,CHL,Chile,CL,152.0,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1179,2665,El Tepual Intl,Puerto Montt,Chile,PMC,SCTE,-41.438886,-73.093953,294,-4.0,S,CL,CHL,Chile,CL,152.0,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1180,2670,Francisco De Orellana,Coca,Ecuador,OCC,SECO,-0.462886,-76.986842,834,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1181,2671,Mariscal Lamar,Cuenca,Ecuador,CUE,SECU,-2.889467,-78.984397,8306,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1182,2672,Seymour,Galapagos,Ecuador,GPS,SEGS,-0.453758,-90.265914,207,-6.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1183,2673,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,GYE,SEGU,-2.157419,-79.883558,19,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1184,2680,Coronel E Carvajal,Macas,Ecuador,XMS,SEMC,-2.299167,-78.12075,3452,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1185,2683,Eloy Alfaro Intl,Manta,Ecuador,MEC,SEMT,-0.946078,-80.678808,48,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1186,2686,Reales Tamarindos,Portoviejo,Ecuador,PVO,SEPV,-1.041647,-80.472206,130,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1187,2688,Mariscal Sucre Intl,Quito,Ecuador,UIO,SEQU,-0.141144,-78.488214,9228,-5.0,U,EC,ECU,Ecuador,EC,218.0,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1188,2699,Silvio Pettirossi Intl,Asuncion,Paraguay,ASU,SGAS,-25.23985,-57.519133,292,-4.0,S,PY,PRY,Paraguay,PY,600.0,ISO 3166-2:PY,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1189,2705,El Eden,Armenia,Colombia,AXM,SKAR,4.452775,-75.766447,3990,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1190,2706,Tres De Mayo,Puerto Asis,Colombia,PUU,SKAS,0.505228,-76.500836,815,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1191,2708,Palonegro,Bucaramanga,Colombia,BGA,SKBG,7.1265,-73.184778,3897,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1192,2709,Eldorado Intl,Bogota,Colombia,BOG,SKBO,4.701594,-74.146947,8361,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1193,2710,Ernesto Cortissoz,Barranquilla,Colombia,BAQ,SKBQ,10.889589,-74.780819,98,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1194,2711,Jose Celestino Mutis,Bahia Solano,Colombia,BSC,SKBS,6.202917,-77.394675,80,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1195,2712,Gerardo Tobar Lopez,Buenaventura,Colombia,BUN,SKBU,3.819628,-76.989767,48,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1196,2713,Camilo Daza,Cucuta,Colombia,CUC,SKCC,7.927567,-72.511547,1096,-4.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1197,2714,Rafael Nunez,Cartagena,Colombia,CTG,SKCG,10.442381,-75.512961,4,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1198,2715,Alfonso Bonilla Aragon Intl,Cali,Colombia,CLO,SKCL,3.543222,-76.381583,3162,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1199,2716,La Florida,Tumaco,Colombia,TCO,SKCO,1.814417,-78.749228,8,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1200,2717,Las Brujas,Corozal,Colombia,CZU,SKCZ,9.332742,-75.285594,528,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1201,2718,Yariguies,Barrancabermeja,Colombia,EJA,SKEJ,7.024331,-73.8068,412,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1202,2719,Gustavo Artunduaga Paredes,Florencia,Colombia,FLA,SKFL,1.589189,-75.564372,803,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
